10	6600
5	400
48	300
64	300
9	200
9	4800
16	400
32	500
64	300
30	1200
48	400
48	200
40	300
16	400
64	600
832	2000
192	800
48	300
24	300
9	400
12	200
9	200
8	500
16	200
32	300
10	200
20	200
40	300
12	500
24	300
48	200
424	800
8	1200
48	600
52	1300
32	600
12	300
24	300
48	200
10	200
20	200
40	1300
24	2100
15	400
17	600
27	400
22	200
17	100
22	200
21	100
16	200
26	200
26	200
26	200
29	100
29	200
18	200
22	200
15	200
23	600
26	300
14	200
19	200
20	100
18	200
19	200
19	100
19	200
20	200
20	200
809	18300
148	800
16	800
32	400
10	500
20	300
40	500
22	1100
16	600
15	200
25	600
13	200
20	200
25	200
21	300
13	200
17	200
18	200
18	200
19	200
23	300
30	300
18	200
19	300
20	200
22	200
19	200
14	200
15	200
14	200
18	200
15	300
24	200
18	500
19	200
20	200
13	200
16	200
24	200
25	400
17	200
12	200
20	200
21	200
13	200
18	100
23	200
13	200
16	100
16	200
25	300
30	200
13	100
8	400
18	200
21	200
16	100
16	200
16	100
17	200
13	200
13	200
14	100
23	200
26	200
26	100
26	100
26	200
27	200
15	200
16	200
19	200
17	100
14	200
12	200
13	200
12	200
13	100
12	200
13	200
16	200
23	200
23	200
23	100
26	200
26	200
26	200
30	200
30	200
30	200
20	100
19	100
25	100
17	200
17	200
20	200
20	200
20	200
24	200
24	200
24	200
16	200
21	100
16	200
25	200
16	200
22	200
17	200
15	100
23	200
17	200
27	200
21	100
11	100
23	100
22	100
21	100
16	100
21	100
16	200
25	200
16	200
22	200
17	200
15	100
13	200
17	100
27	100
21	100
12	100
12	200
13	200
19	200
20	200
14	200
15	200
10	100
27	200
27	200
11	100
18	100
26	200
13	200
21	100
22	100
34	200
13	100
14	200
15	100
25	200
23	100
24	200
36	200
34	200
46	500
20	100
30	100
24	200
33	200
30	100
39	200
9	200
26	200
26	200
10	200
23	200
11	100
18	100
23	200
12	200
9	200
8	300
25	200
30	200
24	200
26	200
21	200
23	100
23	100
23	100
26	200
12	100
13	100
18	200
22	200
13	100
19	200
14	200
14	100
24	200
18	200
17	200
24	200
33	100
18	200
26	100
33	200
31	200
19	200
28	200
26	200
23	700
22	200
21	200
20	200
16	200
14	200
25	200
23	200
20	200
19	200
24	200
28	100
31	100
21	200
15	200
13	200
11	100
14	200
12	200
19	100
22	200
38	200
28	200
25	200
18	200
16	100
16	100
14	200
24	200
22	200
19	200
30	200
28	200
25	100
24	100
43	300
33	200
34	200
17	200
20	100
14	100
19	200
20	300
24	200
28	300
23	200
26	200
29	200
34	200
25	200
23	100
20	100
15	100
27	200
25	100
28	200
26	200
20	200
21	200
19	200
22	200
20	200
13	100
29	200
25	200
26	200
24	100
24	200
19	200
27	200
18	200
14	200
12	200
13	100
21	200
31	200
12	200
14	200
25	200
25	100
21	200
22	100
20	200
20	100
18	200
29	200
29	100
25	200
26	200
24	200
24	200
21	200
30	200
28	200
26	100
25	100
23	100
20	200
21	100
26	200
15	200
15	200
15	100
16	200
28	200
26	200
19	200
21	200
22	200
21	100
26	200
20	200
20	100
20	200
17	100
25	100
24	200
16	200
12	100
12	200
12	100
13	100
17	100
18	100
18	200
21	100
22	100
15	200
16	200
16	200
16	100
17	100
7	300
23	200
26	200
24	200
33	200
36	200
27	200
21	200
24	200
11	100
12	200
13	200
16	200
12	200
